song,artist
Dolphin Dance,Herbie Hancock
Everyone Loves the Sunshine,Roy Ayers
Blue and Green,Miles Davis
In a Sentimental Mood,Duke Ellington
Butterfly,Herbie Hancock
Golden Lady,Stevie Wonder
Fall,Wayne Shorter
Stella By Starlight,Various
Heather,Billy Cobham
Hello Like Before,Bill Withers
But Beautiful,Bill Evans
Infant Eyes,Wayne Shorter
Inner City Blues,Marvin Gaye
Just the Two of Us,Bill Withers
Little Sunflower,Freddie Hubbard
Lovely Day,Bill Withers
Maiden Voyage,Herbie Hancock
Naima,John Coltrane
Nefertitti,Miles Davis
Night Dreamer,Wayne Shorter
So What,Miles Davis
What's Goin' On,Marvin Gaye
Havona,Weather Report
Teen Town,Weather Report
Black Market,Weather Report
Cantaloupe Island,Herbie Hancock
Cause We've Ended as Lovers,Jeff Beck
Chicken,PeeWee Ellis
Diamond Dust,Jeff Beck
Family Affair,Sly and the Family Stone
Footprints,Wayne Shorter
Freddy's Dead,Curtis Mayfield
Freeway Jam,Jeff Beck
Move on Up,Curtis Mayfield
Palladium,Weather Report
Peg,Steely Dan
Red Baron,Billy Cobham
Red Clay,Freddie Hubbard
Southwick,PeeWee Ellis
Stratus,Billy Cobham
Tutu,Miles Davis
Watermelon Man,Herbie Hancock
You Haven't Done Nothin',Stevie Wonder
